-,Vanilla_vodka,Grand_marnier,Coconut_rum,Amaretto,Orange_juice,Grenadine,Vodka,Peach_schnapps,Cranberry_juice,Light_rum,Añejo_rum,Lemon_juice,Ginger_ale,Lemon_peel,Gin,Sweet_vermouth,Angostura_bitters,Dark_rum,Peach_nectar,Absolut_citron,Triple_sec,Strawberry_schnapps,Creme_de_banane,Pineapple_juice,Cream,Sour_mix,Grapefruit_juice,Apple_juice,Maraschino_cherry,Grape_soda,Candy,Milk,Sugar_syrup,Banana,Gold_rum,Lime_juice,Everclear,Wine,Kool-aid,Banana_liqueur,Cherry_heering,Soda_water,Yoghurt,Fruit,Ice,Galliano,Irish_whiskey,Peach_brandy,Sweet_and_sour,Orange,Cherry,Beer,Benedictine,Southern_comfort,Pepsi_cola,Cherry_brandy,Spiced_rum,Rum,Apricot_brandy,Orgeat_syrup,Black_sambuca,Malibu_rum,Blackberry_brandy,Red_wine,Sugar,Brown_sugar,Cinnamon,Cloves,Club_soda,Lemon,Berries,Champagne,Tequila,Scotch,Orange_bitters,Tomato_juice,Salt,Roses_sweetened_lime_juice,Midori_melon_liqueur,Absolut_kurant,Sprite,Absolut_vodka,Almond_flavoring,Tropicana,Cherry_liqueur,Crown_royal,7-up,Heavy_cream,Egg_white,Vermouth,Yellow_chartreuse,Creme_de_cacao,Light_cream,Dry_vermouth,Kummel,Apple_brandy,Lime,Lime_juice_cordial,Bitters,Tonic_water,Maraschino_liqueur,Brandy,Green_chartreuse,Blue_curacao,Creme_de_cassis,Fresh_lime_juice,Ginger_beer,Ginger,Creme_de_mure,Egg_yolk,White_rum,Cherry_grenadine,Lillet_blanc,Absinthe,Peach_bitters,Mint,Olive,Dubonnet_rouge,Lillet,Orange_peel,Powdered_sugar,Water,Carbonated_water,Pineapple,Strawberries,Aperol,Coca-cola,Lemon-lime_soda,Campari,Orange_curacao,Egg,Chocolate_liqueur,Ouzo,Baileys_irish_cream,Elderflower_cordial,Rosso_vermouth,Anis,Kirschwasser,Strawberry_liqueur,White_creme_de_menthe,Anise,Licorice_root,Wormwood,Lemonade,Gold_tequila,Cream_of_coconut,Passion_fruit_syrup,Pisang_ambon,Coconut_liqueur,Coffee_liqueur,Worcestershire_sauce,Raisins,Blueberries,Tia_maria,Mountain_dew,Surge,Chambord_raspberry_liqueur,Peachtree_schnapps,Kahlua,Chocolate_ice-cream,Cointreau,Olive_brine,151_proof_rum,Dr._pepper,Jägermeister,Sambuca,Raspberry_liqueur,Melon_liqueur,Iced_tea,Bourbon,Jello,Sloe_gin,Vanilla_ice-cream,Oreo_cookie,Pink_lemonade,Grape_juice,Half-and-half,Limeade,Godiva_liqueur,Caramel_sauce,Chocolate_sauce,Mini-snickers_bars,Butterscotch_schnapps,Chocolate,Vanilla,Chocolate_syrup,Vanilla_extract,Whipping_cream,Coffee,Goldschlager,Frangelico,Espresso,Nutmeg,Honey
50/50,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_Day_at_the_Beach,,,1.0,0.5,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_Gilligan's_Island,,,,,3.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_Night_In_Old_Mandalay,,,,,1.0,,,,,1.0,1.0,0.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey_Martini,,,,,1.0,,,,,,,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene,,,,,3.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolutly_Screwed_Up,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison_Special,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affair,,,,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After_sex,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
